0001-@	日	日	rì	Sonne, Tag, Datum, Japan	Sonne			Bild einer 日 Sonne, früher rund mit Punkt, jetzt eckig.	生日 = shēng rì = Geburtstag // 節日 = jié rì = Fest, Feiertag // 日記 = rì jì = Tagebuch
0662-@	鉛	铅	qiān	Blei	Blei	Gold/Metall (金) + Hohlweg* (八 über 口)	Gold/Metall + Hohlweg*	鉛 Blei ist ein 金 Metall, das aufgrund seines niedrigen Schmelzpunktes leicht durch einen Hohlweg (八 über 口) fließen kann.	鉛筆 = qiān bǐ = Bleistift // 鉛垂線 = qiān chuí xiàn = senkrechte Linie, Senkrechte, Lotlinie
0663-1	冓				Rahmenwerk*			Bild eines 冓 Rahmenwerks aus Balken.	
0663-@	構	构	gòu	(konstruieren)	Struktur/konstruieren	Baum/Holz (木) + Rahmenwerk* (冓)	Baum/Holz + Rahmenwerk*	Ein 冓 Rahmenwerk aus 木 Holz muß 構 konstruiert werden und bildet eine 構 Struktur.	構成 = gòu chéng = bilden, formen, gestalten; Gestalt // 構造 = gòu zào = Konstruktion, Bau, Struktur // 結構 = jié gòu = Struktur, Konstruktion
0664-@	講	讲	jiǎng	unterrichten, sagen	unterrichten/sagen	Rede (言) + Rahmenwerk* (冓)	Rede + Rahmenwerk*	Ein 冓 Rahmenwerk, eine 冓 Struktur von 言 geredeten Worten: etwas 講 unterrichten, erklären, sagen.	講話 = jiǎng huà = reden; Rede, Einführung // 講座 = jiǎng zuò = Kurs, Lehrgang, Vorlesung // 聽講 = tīng jiǎng = einer Vorlesung, einem Unterricht zuhören
0665-@	購	购	gòu	(erwerben, anschaffen)	erwerben	Muschel/Geld (貝) + Rahmenwerk* (冓)	Muschel/Geld + Rahmenwerk*	Größere 購 Erwerbungen erfordern einen gewissen 冓 Rahmen an 貝 Geld-Mitteln.	購物 = gòu wù = einkaufen, shoppen // 採購 = cǎi gòu = einkaufen, besorgen // 購買 = gòu mǎi = erwerben, anschaffen, kaufen
0666-@	溝	沟	gōu	Furche, Graben, Schlucht	Graben/Kanal	Wasser (水氵) + Rahmenwerk* (冓)	Wasser + Rahmenwerk*	氵 Wasser, das durch eine künstliche Struktur wie ein 冓 Rahmenwerk geführt wird: Bewässerungs- 溝 Gräben bzw. 溝 Kanäle.	水溝 = shuǐ gōu = Graben, Gosse // 溝通 = gōu tōng = kommunizieren, verbinden, verknüpfen // 代溝 = dài gōu = Kluft zwischen den Generationen
0667-@	世	世	shì	(Leben, Ära)	Generation/Leben			Das Zeichen steht in Bezug zu dem 3-fachen 十-Zeichen: 卅: 30 Jahre sind eine 世 Generation, die Länge eines 世 Lebens in früheren Zeiten.	世界 = shì jiè = Welt // 世紀 = shì jì = Jahrhundert // 世界大戰 = shì jiè dà zhàn = Weltkrieg
0668-1	亢				hoch/extrem*			Bild einer 大 Person mit einer Überbetonung der 几 Beine: 亢 hoch, extrem.	
0668-@	抗	抗	kàng	bekämpfen, sich messen, verweigern	sich-widersetzen	Hand (手扌) + hoch/extrem* (亢)	Hand + hoch/extrem*	Mit den 扌 Händen sich den 亢 "Hohen" 抗 widersetzen.	反抗 = fǎn kàng = Widerstand leisten // 抗日 = kàng rì = Widerstand gegen Japan leisten, antijapanisch // 抗議 = kàng yì = protestieren
0669-@	航	航	háng	(Schiff, fliegen)	fliegen/segeln	Barke* (舟) + hoch/extrem* (亢)	Barke* + hoch/extrem*	Mit einer Art 舟 Barke oder Boot 亢 hoch 航 fliegen oder 亢 extreme Entfernungen zurücklegen.	航班 = háng bān = Flugnummer; Linienflug // 航空 = háng kōng = Luftfahrt, Flugverkehr // 中國民航 = zhōng guó mín háng = CAAC (staatliche chinesische Fluggesellschaft)
0670-@	坑	坑	kēng	Loch, Tunnel	Grube	Erde (土) + hoch/extrem* (亢)	Erde + hoch/extrem*	Eine 坑 Grube, ein 坑 Loch, ein 坑 Tunnel: 土 Erde wird an einen anderen Ort bewegt und ergibt dort einen 亢 hohen Hügel.	坑子 = kēng zi = Loch, Grube; Plumpsklo // 廁坑 = cè kēng = Abortgrube
0671-@	杭	杭	háng	Hangzhou, [Nachname]	Holzboot	Baum/Holz (木) + hoch/extrem* (亢)	Baum/Holz + hoch/extrem*	Ein 亢 (航 verkürzt) Boot  aus 木 Holz: heute im Stadtnamen 杭州 oder ein Nachname.	杭州 = háng zhōu = [Stadtname: Hangzhou]
0672-@	炕	炕	kàng	Kang [heizbare Schlafbank]	heizbare-Schlafbank	Feuer (火灬) + hoch/extrem* (亢)	Feuer + hoch/extrem*	亢 Hoch über dem 火 Feuer sitzen und schlafen: auf einer beheizten, gemauerten Schlafbank 炕 "Kang".	火炕 = huǒ kàng = gemauerte heizbare Schlafbank [in Nordchina]
0673-@	哭	哭	kū	weinen	weinen	Mund (口) + Mund (口) + Hund* (犬犭)	Mund + Mund + Hund*	Ein 犬 Hund, der sehr laut (aus 口口 zwei Mündern) heult, 哭 klagt, 哭 weint.	哭笑不得 = kū xiào bù dé = nicht wissen, ob man weinen oder lachen soll [Redensart] // 哇哇大哭 = wā wā dà kū = sehr laut weinen // 號哭 = háo kū = heulen, laut weinen
0674-@	泣	泣	qì	schluchzen, weinen	schluchzen/weinen	Wasser (水氵) + stehen (立)	Wasser + stehen	Eine (立 stehende) Person, die aus Traurigkeit 氵 Wasser verliert: 泣 schluchzen, 泣 weinen.	哭泣 = kū qì = schluchzen, weinen
0675-@	器	器	qì	Gerät, Ware, Organ	Gerät/Ware	Mund (口) + Mund (口) + Hund* (犬犭) + Mund (口) + Mund (口)	Mund + Mund + Hund* + Mund + Mund	Vier Koch-Töpfe oder 器 -Geräte, dargestellt durch vier 口口口口 Münder; diese dienen zur Herstellung und Aufbewahrung der Nahrung für Menschen und Tiere (repräsentiert durch einen 犬 Hund).	機器 = jī qì = Maschine, Apparat, Gerät // 武器 = wǔ qì = Waffe(n) // 儀器 = yí qì = Instrument, Gerät, Apparat
0676-@	淚	泪	lèi	(Träne)	Träne	Wasser (水氵) + Türflügel (戶) + Hund* (犬犭)	Wasser + Türflügel + Hund*	Ein 犬 Hund steht am Haus- 户 Türflügel und beweint den Fortgang seines Herrn mit 氵 wässrigen 淚 Tränen.	流淚 = liú lèi = weinen; tränenreich // 眼淚 = yǎn lèi = Träne
0677-@	同	同	tóng	gleich, wie, zusammen mit	übereinstimmen	begrenztes-Gebiet* (冂) + eins (一) + Mund (口)	begrenztes-Gebiet* + eins + Mund	Alle in einem 冂 begrenzten Gebiet reden mit 一 einer Stimme (= einem 口 Mund): 同 übereinstimmen, 同 gleich, 同 zusammen.	同學 = tóng xué = Mitschüler, Kommilitone // 同事 = tóng shì = Arbeitskollege, -kollegin, Mitarbeiter // 同意 = tóng yì = einverstanden sein (mit), zustimmen
0678-@	銅	铜	tóng	Kupfer	Kupfer	Gold/Metall (金) + übereinstimmen (同)	Gold/Metall + übereinstimmen	銅 Kupfer und 金 Gold habe eine nahezu 同 übereinstimmende Farbe. Außerdem kann man Kupfer gut legieren = 同 zusammen-tun.	黃銅 = huáng tóng = Messing // 青銅 = qīng tóng = Bronze // 銅牌 = tóng pái = Bronzemedaille
0679-@	洞	洞	dòng	Höhle, Loch	Höhle/Loch	Wasser (水氵) + übereinstimmen (同)	Wasser + übereinstimmen	Alle 氵 Wasser-Tropfen "同 stimmen überein": sie sammeln sich in 洞 Löchern und 洞 Höhlen.	打洞機 = dǎ dòng jī = Locher // 空洞 = kōng dòng = Hohlraum; hohl // 鬧洞房 = nào dòng fáng = dem Brautpaar Streiche spielen
0680-@	筒	筒	tǒng	Röhre, Bambusrohr	Röhre	Bambus (竹) + übereinstimmen (同)	Bambus + übereinstimmen	Ein 竹 Bambus- 筒 Rohr ist 洞 hohl (hier vereinfacht zu "同 übereinstimmen").	一筒牙膏 = yī tǒng yá gāo = eine Tube Zahnpasta // 手電筒 = shǒu diàn tǒng = Taschenlampe // 話筒 = huà tǒng = Mikrofon, Megafon
0681-1	糸言糸				chaotisch/abnorm*			Wenn man bei der Beschäftigung mit 糸糸 Seidenfäden 言 Worte wechselt, wird man unaufmerksam und es entsteht Chaos und Abnormität (糸 plus 言 plus 糸).	
0681-@	變	变	biàn	ändern, sich verändern, sich entwickeln	ändern	chaotisch/abnorm* (糸言糸) + schlagen* (攴攵)	chaotisch/abnorm* + schlagen*	Dem Choas (糸 plus 言 plus 糸) durch 攵 Schläge entgegentreten: etwas 變 ändern.	變化 = biàn huà = Veränderung, Umwandlung // 改變 = gǎi biàn = verändern // 變成 = biàn chéng = sich verwandeln, werden
0682-@	戀	恋	liàn	(lieben, sich verlieben)	sich-verlieben	chaotisch/abnorm* (糸言糸) + Herz/Gefühl (心忄)	chaotisch/abnorm* + Herz/Gefühl	Wenn man sich 戀 verliebt, sind das 心 Herz und die 心 Gefühle im Chaos (糸 plus 言 plus 糸) .	戀愛 = liàn ài = Liebe, sich verlieben // 戀人 = liàn rén = Liebhaber // 同性戀者 = tóng xìng liàn zhě = Homosexueller, Lesbierin
0683-@	彎	弯	wān	krumm, Kurve	Kurve/krumm	chaotisch/abnorm* (糸言糸) + Bogen* (弓)	chaotisch/abnorm* + Bogen*	Ein 弓 Bogen, der abnorm (糸 plus 言 plus 糸) geformt ist, ist 彎 krumm.	彎曲 = wān qū = gewunden, gebogen, krumm // 拐彎 = guǎi wān = abbiegen, (her-)umschwenken
0684-@	灣	湾	wān	Meeresbucht, Bai, Golf	Bucht/Hafen	Wasser (水氵) + Kurve/krumm (彎)	Wasser + Kurve/krumm	Wenn der Übergang vom Land zum 氵 Wasser (die Küste) 彎 gekrümmt verläuft, da ergibt sich oft eine 灣 Bucht, ein natürlicher 灣 Hafen.	台灣 = tái wān = Taiwan // 臺灣 = tái wān = Taiwan // 海灣 = hǎi wān = Bucht, Bay, Golf
0685-@	吉	吉	jí	(Glück, glücklich)	glückverheißend	Gelehrter (士) + Mund (口)	Gelehrter + Mund	Die Worte aus dem 口 Mund eines 士 Gelehrten oder Weisen waren wohl oft 吉 glückverheißend.	萬事大吉 = wàn shì dà jí = alles verläuft sehr glücklich [Redensart] // 成吉思汗 = chéng jí sī hàn = Dschingis Khan (1162-1227) // 吉利 = jí lì = glückverheißend, glücklich; "Geely" [chin. Automarke]
0686-@	臺	台	tái	Hochebene, Terrasse, Plattform; hoch; [ZEW für Maschinen, Aufführungen]	Plattform/Bühne	glückverheißend (吉) + Deckel* (冖) + bis (至)	glückverheißend + Deckel* + bis	Sich 至 bis auf eine erhöhte, 臺 Plattform-artige Position (= 冖 Deckel) begeben: der Ausblick verheißt 吉 Glück. Das Zeichen kann auch als Bild eines Turms (wie 高,京) interpretiert werden. Auch in Taiwan wird es oft mit 台 abgekürzt, und es   ist allein eine Abkürzung für 臺灣 Taiwan, z.B. 台幣, 台大.	電視臺 = diàn shì tái = TV-Sender, TV-Station // 電臺 = diàn tái = Radiosender, Radiostation // 一中一臺 = yī zhōng yī tái = "Ein China - ein Taiwan"-Politik
0687-@	結	结	1) jiē / 2) jié	1) (solide, fest, kräftig) / 2) knüpfen	knüpfen/solide	Seide* (糸) + glückverheißend (吉)	Seide* + glückverheißend	結 Solide 結 geknüpft - genau wie gute (eigentlich 吉 glückverheißende) 糸 Seide.	結實 = jiē shí = solide, fest, gesund, haltbar // 結婚 = jié hūn = heiraten, sich verheiraten // 結束 = jié shù = enden, zu Ende sein; etw. beenden // 結果 = jié guǒ = Resultat, Ergebnis; Früchte tragen
0688-1	壴				Trommel*			Das Bild einer 口 Trommel auf einem Ständer mit einem 士 Schlegel oder einer Dekoration (oben).	
0688-@	喜	喜	xǐ	sich freuen	sich-freuen	Trommel* (壴) + Mund (口)	Trommel* + Mund	Musizieren, z. B. mit einer 壴 Trommel, und das Singen (→ 口 Mund) von Liedern bereiten dem Menschen 喜 Freude. Das verdoppelte Zeichen (雙喜 = 囍 "Doppelglück") wird bei Hochzeiten verwendet.	喜歡 = xǐ huān = gern mögen, lieb haben, Gefallen haben an // 歡天喜地 = huān tiān xǐ dì = ganz von Freude erfüllt sein [Redensart] // 喜訊 = xǐ xùn = frohe Nachricht, frohe Botschaft
0689-@	打	打	dǎ	schlagen	schlagen/tun	Hand (手扌) + Nagel (丁)	Hand + Nagel	Mit der 扌 Hand 打 schlagen, so wie man es mit einem 丁 Nagel tut. Das Zeichen wird oft verallgemeinert als "打 tun" mit einem Objekt verwendet.	打電話 = dǎ diàn huà = einen Anruf machen, telefonieren // 打籃球 = dǎ lán qiú = Basketball spielen // 打掃 = dǎ sǎo = etwas fegen; reinigen, aufräumen
0690-@	訂	订	dìng	bestellen, abonnieren	bestellen	Rede (言) + Nagel (丁)	Rede + Nagel	Eine 言 Rede, die (per Vertrag) festge- 丁 nagelt wird: etwas 訂 bestellen.	簽訂 = qiān dìng = (einen Vertrag) unterzeichnen // 制訂 = zhì dìng = ausarbeiten, formulieren // 修訂 = xiū dìng = revidieren
0691-@	頂	顶	dǐng	höchst, äußerst, ersetzen, Gipfel	höchst	Nagel (丁) + Kopfmensch/Seite (頁)	Nagel + Kopfmensch/Seite	Der 頁 Kopf ist die 頂 höchste Stelle, nicht nur beim 丁 Nagel.	頂天立地 = dǐng tiān lì dì = Außergewöhnliches vollbringen [Redensart] // 頂點 = dǐng diǎn = Scheitelpunkt // 頂讓 = dǐng ràng = jmd. ersetzen, ein Geschäft übernehmen
0692-@	欠	欠	qiàn	fehlen, ungenügend, schulden	fehlen/gähnen			Bild einer gähnenden Person mit Atem. 哈欠 Gähnen bedeutet: es 欠 fehlt Sauerstoff.	打哈欠 = dǎ hā qiàn = gähnen // 呵欠 = hē qiàn = gähnen
0693-@	吹	吹	chuī	blasen, wehen	blasen	Mund (口) + fehlen/gähnen (欠)	Mund + fehlen/gähnen	Wenn Luft aus dem 口 Mund 吹 geblasen wird, 欠 fehlt schnell Sauerstoff in der Lunge.	大吹大擂 = dà chuī dà lèi = mit etwas prahlen [Redensart] // 吹牛 = chuī niú = prahlen, eine "große Klappe" haben, sich "aufblasen"
0694-@	次	次	cì	-mal	-mal	zwei (二) + fehlen/gähnen (欠)	zwei + fehlen/gähnen	Der 二 Zweite in der 次 Reihenfolge (= "-mal") hat den Sieg ver- 欠 fehlt. 冫 bedeutet hier nicht Eis, sondern 二 zwei.	其次 = qí cì = als nächstes, an zweiter Stelle // 第一次 = dì yī cì = das erste Mal // 次要 = cì yào = nebensächlich, sekundär; Neben-
0695-@	欣	欣	xīn	(glücklich, froh)	glücklich	Axt/Pfund (斤) + fehlen/gähnen (欠)	Axt/Pfund + fehlen/gähnen	Jemand arbeitet mit einer 斤 Axt so hart, daß es ihm an Luft 欠 mangelt und er 欠 gähnen muß - dennoch ist er nach getaner Arbeit 欣 glücklich über das Geleistete.	欣然 = xīn rán = bereitwillig // 欣喜 = xīn xǐ = glücklich // 欣賞 = xīn shǎng = bewundern, Gefallen finden an, schätzen
0696-@	軟	软	ruǎn	weich, gepolstert, mild, schwach, unzulänglich	weich	Fahrzeug (車) + fehlen/gähnen (欠)	Fahrzeug + fehlen/gähnen	Ein 車 Fahrzeug, das sich allein durch 欠 Pusten oder 欠 Gähnen bewegt, muß 軟 weich und 軟 zart sein - z.B. aus Papier?	軟體 = ruǎn tǐ = Software [Computer] // 軟件 = ruǎn jiàn = Software [Computer] // 軟座 = ruǎn zuò = weicher Sitzplatz (im Zug)
0697-1	雚				Reiher*			Bild eines Reihers: ein 隹 Vogel mit 艹 Haaren auf dem Kopf, 吅 schreiend. Als Komponente oft in der Bedeutung: erhöhte, distanzierte Position.	
0697-@	觀	观	guān	Blick, Anschauung	Blick/Anschauung	Reiher* (雚) + sehen/treffen (見)	Reiher* + sehen/treffen	Wie ein 雚 Reiher 見 sieht: aus erhöhter Position 觀 blicken, 觀 anschauen.	參觀 = cān guān = besichtigen // 觀眾 = guān zhòng = Zuschauer, Publikum // 觀察 = guān chá = beobachten
0698-@	歡	欢	huān	(froh, begeistert)	froh	Reiher* (雚) + fehlen/gähnen (欠)	Reiher* + fehlen/gähnen	歡 Frohes, begeistertes Ausatmen (wie ein 欠 Gähnen) oder Schreien eines 雚 Reihers.	喜歡 = xǐ huān = gern mögen, lieb haben, Gefallen haben an // 歡迎 = huān yíng = willkommen heißen, begrüßen // 歡送 = huān sòng = sich voneinander verabschieden
0699-@	權	权	quán	Macht, Befugnis, Recht	Macht/Befugnis	Baum/Holz (木) + Reiher* (雚)	Baum/Holz + Reiher*	Ein 木 Baum in erhöhter, distanzierter Position (wie der Kopf eines 雚 Reihers): ein Sinnbild für 權 Macht, 權 Befugnis.	主權 = zhǔ quán = Souveränität // 版權 = bǎn quán = Urheberrecht, Copyright // 政權 = zhèng quán = Staatsgewalt, Regime
0700-@	灌	灌	guàn	gießen, bewässern, füllen, eintrichtern, pauken	gießen/bewässern	Wasser (水氵) + Reiher* (雚)	Wasser + Reiher*	氵 Wasser aus erhöhter Position (wie der Kopf eines 雚 Reihers): 灌 gießen, 灌 bewässern, einschenken.	灌木 = guàn mù = Strauch // 澆灌 = jiāo guàn = ausspülen; bewässern, begießen
0701-@	勸	劝	quàn	zureden, einreden, ermuntern, raten	zureden	Reiher* (雚) + Kraft (力)	Reiher* + Kraft	力 Kraft, die aus erhöhter Position (wie der Kopf eines 雚 Reihers) kommt: 勸 zureden, ermuntern.	勸說 = quàn shuō = anraten, avisieren // 勸告 = quàn gào = Ratschlag, Ermahnung; raten, ermahnen // 規勸 = guī quàn = ermahnen, ins Gewissen reden, raten
0702-@	罐	罐	guàn	Topf, Krug, Dose, Büchse	Topf/Krug/Dose	Urne* (缶) + Reiher* (雚)	Urne* + Reiher*	Ursprünglich das Zeichen für einen 罐 Krug ähnlich einer 缶 Urne mit einer Gießvorrichtung (geformt wie der Hals eines 雚 Reihers), heute auch für andere Gefäße wie z. B. 罐 Dosen verwendet.	罐頭 = guàn tóu = Büchse, Konservendose // 開罐器 = kāi guàn qì = Dosenöffner
0703-@	再	再	zài	wieder, noch einmal [in der Zukunft]	wieder			Zwei Fische hängen nebeneinander; nachdem einer verspeist wurde, kann man 再 wieder bzw. 再 noch einmal Fisch essen.	再見 = zài jiàn = Auf Wiedersehen! // 再會 = zài huì = ich seh dich später, tschüß // 再說 = zài shuō = verschieben, darüber hinaus
0704-1	癶				Beine-ausstrecken/2-Füße*			Zwei 止 Füße in entgegengesetzter Richtung, d. h. die 癶 Beine ausstrecken.	
0704-2	殳				schlagen/töten*			Eine 几 Waffe in einer 又 Hand. Ähnlich "攴攵 schlagen" bedeutet auch diese Zeichen-Komponente 殳 schlagen oder töten.	
0704-@	發	发	fā	werden, entwickeln, versenden	schießen/senden	Beine-ausstrecken/2-Füße* (癶) + Bogen* (弓) + schlagen/töten* (殳)	Beine-ausstrecken/2-Füße* + Bogen* + schlagen/töten*	Zwei 癶 ausgestreckte Beine deuten Separation und damit verbundenes Loslassen an: 發 senden. Durch 弓 Bogen und eine 殳 schlagende Hand wird 發 Schießen symbolisiert. Das Zeichen bedeutet auch werden, entwickeln.	發燒 = fā shāo = Fieber haben, fiebern // 發現 = fā xiàn = etw. entdecken, finden; Entdeckung // 出發 = chū fā = aufbrechen, starten
0705-@	潑	泼	pō	ausgießen; keck, boshaft	ausgießen/keck	Wasser (水氵) + schießen/senden (發)	Wasser + schießen/senden	氵 Wasser 發 schießt heraus: 潑 ausgießen.	活潑 = huó pō = lebhaft, munter // 潑出 = pō chū = ausströmen, verschütten // 潑冷水 = pō lěng shuǐ = jmd. eine kalte Dusche verpassen
0706-@	撥	拨	bō	zuweisen, umändern, (Tel.) wählen, (Uhr) stellen; Gruppe	schieben	Hand (手扌) + schießen/senden (發)	Hand + schießen/senden	Mit einer 扌 Hand -Bewegung etwas 發 senden: "撥 schieben" im weitesten Sinn: zuweisen, umändern, ein Telefon wählen, eine Uhr stellen.	撥打 = bō dǎ = wählen [Telefon] // 撥鐘 = bō zhōng = Uhr stellen // 挑撥 = tiǎo bō = provozieren, einen Keil treiben zwischen ...
0707-@	廢	废	fèi	ungültig, unbrauchbar, beseitigen, abschaffen	beseitigen/unbrauchbar	Schutzdach* (广) + schießen/senden (發)	Schutzdach* + schießen/senden	Beim 廢 Beseitigen 廢 unbrauchbarer Dinge werden sie aus dem Haus rausgeworfen: sie 發 schießen aus dem mit einem 广 Schutzdach überdachten Raum ins Freie.	少廢話 = shǎo fèi huà = hör auf Unsinn zu reden!, rede keinen Quatsch! // 廢話 = fèi huà = Unsinn, Nonsens // 廢水 = fèi shuǐ = Abwasser
0708-@	那	那	1) nà / 2) nèi	1) das, jenes, dann, in diesem Fall / 2) das, jenes, dann, in diesem Fall	jenes			Dies ist mein Dorf, 那 jenes ist eine 阝 Stadt. 那 war früher ein Stadtname: die Bedeutung der linken Komponente (冄 Stroh oder Felle) ist unklar.	那個 = nà ge = jene, jener, jenes (dort) // 那裡 = nà lǐ = dort [südchin. Variante] // 那麼 = nà me = so, derartig, auf jene Weise
0709-@	哪	哪	1) nǎ / 2) něi	1) welche / 2) welche	welche	Mund (口) + jenes (那)	Mund + jenes	Der 口 Mund fragt nach 那 jenem: 哪 welches?	哪裡 = nǎ lǐ = wo? [südchin. Variante] / ach woher denn!, nicht der Rede wert!, aber nein! [höfliche Abwehr eines Kompliments] // 哪個 = nǎ ge = welcher, welche, welches? // 哪怕 = nǎ pà = obwohl, selbst, selbst wenn, auch wenn
0710-@	乃	乃	nǎi	sein; also, daraufhin; so, darum; erst dann	so-sein/Mutterleib			Bild des 乃 Mutterleibs; in einigen Zeichen Bild der ausgeatmeten Luft eines Seufzers bei Schwierigkeiten; die Person kann nur noch sagen: "乃 So ist es!"	乃至 = nǎi zhì = ja sogar
0711-@	孕	孕	yùn	(schwanger)	schwanger	so-sein/Mutterleib (乃) + Kind/Nomensuffix (子)	so-sein/Mutterleib + Kind/Nomensuffix	Ein 子 Kind im 乃 Mutterleib: eine Frau ist 孕 schwanger.	避孕用品 = bì yùn yòng pǐn = empfängnisverhütendes Mittel // 避孕工具 = bì yùn gōng jù = Verhütungsmittel // 受孕 = shòu yùn = schwanger werden
0712-@	奶	奶	nǎi	Brüste, Milch, stillen	Brüste/Milch	Frau (女) + so-sein/Mutterleib (乃)	Frau + so-sein/Mutterleib	Wenn eine 女 Frau einen großen 乃 Mutterleib hatte und ein Kind empfing, geben ihre 奶 Brüste dem Baby 奶 Milch.	牛奶 = niú nǎi = Milch // 奶奶 = nǎi nǎi = Oma, Großmutter (väterlicherseits) // 奶子 = nǎi zi = Brust
0713-@	仍	仍	réng	wiederum, wie vorher, nach wie vor, ferner	immer-noch	Person (人亻) + so-sein/Mutterleib (乃)	Person + so-sein/Mutterleib	Eine 亻 Person mit Schwierigkeiten. Sie seufzt: "So 乃 ist es", da die Probleme 仍 immer noch da  sind.	仍然 = réng rán = immer noch, weiterhin // 仍舊 = réng jiù = bleiben; immer noch, wie bisher
